"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18"
"acinar" 857 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"activated_stellate" 0 274 0 2 1 0 1 0 1 0 0 0 0 0 0 0 0 0
"alpha" 1 0 2135 4 1 0 0 0 4 0 0 0 0 0 0 0 0 0
"beta" 0 0 5 2441 5 0 0 0 3 5 0 0 0 0 0 0 0 0
"delta" 1 0 0 7 529 0 0 0 0 0 0 0 0 0 0 0 0 0
"ductal" 15 0 0 9 2 854 0 0 2 0 0 0 0 0 0 0 0 0
"endothelial" 0 7 2 6 0 0 229 0 0 0 0 0 0 0 0 0 0 0
"epsilon" 0 0 0 0 5 0 0 1 2 0 0 0 0 0 0 0 0 0
"gamma" 0 0 1 0 0 0 0 0 251 0 0 0 0 0 0 0 0 0
"macrophage" 0 0 0 0 0 0 0 0 0 55 0 0 0 0 0 0 0 0
"mast" 0 0 0 0 0 0 0 0 0 25 0 0 0 0 0 0 0 0
"quiescent_stellate" 0 163 2 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0
"schwann" 0 5 0 0 0 0 3 1 0 1 0 0 0 0 0 0 0 0
"t_cell" 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0
